id,Review,aspect category,aspect category1,aspect category2,polarity,polarity1,polarity2
37,['Ease of functionality and flexibility. You can control Inventory and cost of production easily.'],['functionality'],['price'],[''],1,1,
38,"['Tally is evolving and capturing markets from single shop owners to multiple retail chain.. Tally is heart of accounting be it inventory, be it payroll  and even ERP solutions. Reasonable, robust product support and ease of use.']",['inventory management'],['ease of use'],[''],1,1,
39,['1.All in one accounting & inventory management system 2. Lots of Add-ons available 3. Widely accepted 4. Customization possible'],['inventory management'],['auto update'],[''],1,1,
40,"['Very user-friendly, easy to use. customisation is possible. multi users has its own server. authorisation processes present']",['ease of use'],['auto update'],[''],1,1,
41,['User friendly Easy to understand and operate Customizable Multiuser Value for money'],['ease of use'],['price'],[''],1,1,
42,['It secure and there is no loss or stealing of data from this software.'],['security'],[''],[''],1,,
43,"['User friendly , easy, interface is good , easy to learn, customizable , easy reporting and economical']",['ui'],['auto update'],['price'],1,1,1
44,['Simply the best indian accounting software. They give you regular update in tune with the dynamic environment.  There is a new update just few weeks after a law change. There is nothing you can't do with this software.'],['update'],[''],[''],1,,
45,['Any layman can learn this product and that's the strength of this product.'],['ease of use'],[''],[''],1,,
46,"['Cost effective,   Easy to use & install,  good remote capabilities,   low hardware requirement']",['price'],['ease of use'],[''],1,1,
47,['Been using tally for the past 2 years or so and hardly had problems except for lag which isn't that often either. It's pretty easy to use once you get the hang of it'],['ease of use'],[''],[''],1,,
48,"['First of all, I like the automation. It is unique in itself. I am pretty much depending on this software and its quite reliable.']",['auto update'],[''],[''],1,,
49,['Handle all type of account and tax related work more efficient performed in few minutes'],['time'],['functionality'],[''],1,1,
50,"['The GST version of tally is awesome,easy to file monthly returns']",['functionality'],['ease of use'],[''],1,1,
51,['Actually software is good but when tally version we need to update they will charge for this. This charges for service support. And we need to update version manually. After all software is very good very light version.'],['update'],['price'],[''],0,0,
52,['Tally Erp 9 Is professional Accounting software with lots of features in it and  it daily updating with new features there is nothing to dislike in it. Tally fulfill my needs .'],['update'],[''],[''],1,,
53,['It is best for accounting but at the same time person who is not familiar with accounting can not use it easily. Somewhat basic knowledge of accounting is required to use this software.  Sometimes people who are commerce graduate for them also this software become difficult as there are many features so it may seems complicated at initial level.'],['ease of use'],[''],[''],0,,
54,['It costs very much as the typical costing range lies between 18000-55000 Indian Rupees. There is no cons other than the software's costing price.'],['price'],[''],[''],0,,
55,"['Not collaborative, very difficult to setup on remote desktop. no cloud option']",['ease of use'],['storage'],[''],0,0,
56,['The software is having following drawbacks. User interface of the application is not that much attractive for the users.  It is difficult to work with multiple windows.'],['ui'],['ease of use'],[''],0,0,
57,"['not much useful reports available, not possible to create custom reports.']",['functionality'],[''],[''],0,,
58,['It is less customized for generating various real  estate specific reports.'],['functionality'],[''],[''],0,,
59,"['This software is not on cloud storage basis. But In all, this software is very good and best software for maintaining complete records of a business']",['storage'],['accounting method'],[''],0,1,
60,"['The software requires the user to have some accounting knowledge to effectively work with it.  After the installation, the user can hardly grasp the accounting knowledge to facilitate the operations.']",['ease of use'],[''],[''],0,,
61,['UI is not so simple  how to use guide is not so easy to understand  error messages does not specify or give suggestions to rectify it'],['ui'],['ease of use'],[''],0,0,
62,"['Reporting mechanism is fantastic, accuracy, front end look and excel export are awesome. More than that filtering options are really helpful to generate custom reports to submit the reports to management or higher authorities.']",['functionality'],['ease of use'],[''],1,0,
63,"['1. Cloud services not available unlike Quickbook or other software.   2. Only desktop version available,  web version not  available.  3. Some advance features missing like auto bank statement download,  regular auto posting etc.   4. Mobile or Tablet not supported.']",['storage'],['auto update'],[''],0,0,
64,['It is very difficult to use multi user on wifi. We need LAN connection for multi user. Else it tends to get very slow. In this day and age when wifi has taken over the world by storm. This is one great backlog.'],['ease of use'],['time'],[''],0,0,
65,['Personally we are happy with the product but we think that the price is quite high while purchasing it for the first time. They should reduce it so that everyone could take benefits of Tally erp 9.'],['price'],[''],[''],0,,
66,"['Tally ERP 9 software  all modules is very useful .Day book ,sale Account , purchase Account ,bank book. &cash book it's used mostly']",['accounting method'],[''],[''],1,,
67,"['It has a lot of features and functions which is good, but the UI is not so simple. One needs to go through a course to understand it completely. I think more tutorial and FAQs could have been better.']",['ui'],[''],[''],0,,
68,"['IT WILL SOME TIME LAGGED, NOT RESPONDING, SOME TIME IT TAKE SO MUCH TIME IF WE DELETE SOME ENTRIES, LEDGERS ETC.']",['time'],[''],[''],0,,
69,['Customer LPO is not showing in SOA. You have to improve this issue. Not able to print bank account details in Invoice with swift code in UAE. This thing they have to improve. We can't upload signed invoice in the tally. Because of cloud base issue. '],['customer support'],['storage'],[''],0,0,
70,['Some basic function are like dos based although the cost of the software made me ignore such small issues.'],['price'],[''],[''],0,,
71,['some features like back up etc are not easy to find for a lament user. Also the tax considerations are not very great in it and you can modify each and everything as per your comfort which helps in tax evasion. Also the billing isnt very great if you want to generate invoices from it.'],['backup'],['accounting method'],[''],0,0,
72,['Customisation for college etc is little difficult you have to call technical expert if you want to customise your reporting i.e if you want to see p&l for different companies in same report'],['auto update'],[''],[''],0,,
73,['I have no negative thinking about this software.'],['none'],[''],[''],1,,
74,['The UI is pretty tacky. Can do a lot to enhance that. No true web experience as it is a thick client.'],['ui'],[''],[''],0,,
75,"['No customer support in GCC, there should be a principal company / developer in GCC rather than small enterprises.']",['customer support'],[''],[''],0,,
76,['The Only Cons. of this ERP Solution is it's not Well Suited for Medium or Large Size Business. Which is So sad.'],['other'],[''],[''],0,,
77,['Expert required for data processing.  Improvement required in GUI. Difficult to use and some features are not available as compared to other ERP software'],['ui'],['ease of use'],[''],0,0,
78,['On site training and customer care by company. Add ons are very difficult to understand in software. '],['ease of use'],['time'],[''],0,0,
79,"['Tally now day is very easy to use, but have some place need to improve as per mouse usability. ']",['ease of use'],['functionality'],[''],0,1,
80,"['Inventory management is nice, printing orders invoices and forms are looks very professional and reports are awesome ']",['inventory management'],['accounting method'],[''],1,1,
81,['Multi user a bit costly amd apart from that I don't find anything which is not good in Tally it's a good accounting software'],['price'],[''],[''],0,,
82,['1. Little expensive for multiple user versions  2.Training required to handle the software hence lack of skilled labor available'],['price'],['ease of use'],[''],0,0,
83,['absolutely no problem in this software. we are using since 4.5 dos base version.'],['none'],[''],[''],1,,
84,['the overall functionality of this software is very good and I have still no complaint on the tally software.'],['functionality'],[''],[''],1,,
85,['Un able to edit or delete if entry is passed for one item.'],['functionality'],[''],[''],0,,
86,['Multiple locations support and feature for generation of consolidated balance sheets in single logistics multi finance model is not yet available.'],['other'],[''],[''],0,,
87,['1. Remote Working is slow 2. Takes time to understand the complete system 3. No Maker - Checker system'],['time'],['customer support'],[''],0,0,
88,"['lack reporting. Reporting tools should be added in tally giving various reports of department, functions etc']",['functionality'],[''],[''],0,,
89,['Apparently Nill it is really a complete accounting software in itself'],['none'],[''],[''],1,,
90,['Its little bit complicated not a lot but a little.'],['none'],[''],[''],1,,
91,"['No choice in templates of invoices or other vouchers, default templates are not as good as other softwares']",['ui'],[''],[''],0,,
92,"['The Cost of the product is very high. A multi user gold subscription Costa a lot. Prevents the small enterprises from adopting it  After GST, it's become too complex. Would be tough for a person to handle without proper updation on the software']",['price'],['update'],[''],0,0,
93,"['Should consider upgrading to a platform where more controls are provided, so that larger organizations can use it.']",['update'],[''],[''],0,,
94,"['Look & feel needs improvement, Customer support needs improvement,   need a lot of new features']",['ui'],['customer support'],[''],0,0,
95,['I don't know why but there seems to be a lag problem with many accounting softwares like this one. Tally crashes a few times and this one time all the previous entries were lost.'],['backup'],[''],[''],0,,
96,['No. It has worked for me just fine. Pretty great!'],['none'],[''],[''],1,,
97,['It is difficult to grasp the accounting soon after insralling. It is not user friendly'],['ease of use'],[''],[''],0,,
98,"['The add on functions are excellent, we can add more features for the use of billing']",['functionality'],[''],[''],0,,
99,['User cannot open multiple instances of ledger account at same time.  User cannot enter cost center wise opening balances which makes it difficult to depict data cost center wise. GUI graphics color should be customized.'],['ease of use'],['ui'],[''],0,0,
100,['Tracking and customer portal that is fully labeled as your own... this is a feature most competitors do not have. Know when your customers have viewed your invoices and even printed them!  Slick mobile app'],['customer support'],['functionality'],[''],1,1,
101,"['Ease of use, especially since the redesign, integrations with PayPal, etc. does save some time, integrated time tracker (although I still primarily use Toggl), makes book keeping - dare I say - fun? (Ok, as fun as it can be!). Great support - I've had timely replies every day of the week and after hours. Impressive!']",['ease of use'],['time'],[''],1,1,
102,"['Ease of use, mobile app, ability to have a ticketing system for customers, ability to have subs long hours in the system, ability to create professional looking quotes and invoices on the fly, integration to credit card and bank accounts to track and attach expenses to jobs. ']",['ease of use'],['ui'],[''],1,1,
103,['I have used Freshbooks for years now and only need it for a select number of clients. But it's interface and app are simple to use for billing. Ease of use is a big factor in using this software'],['ui'],['ease of use'],[''],1,1,
104,['Pretty much everything. This app is perhaps the easiest to use software that I use in my workflow. It is outstanding. You can create an invoice in seconds. I also like the feature that lets you know that a client has viewed the sent invoice.'],['ease of use'],['functionality'],[''],1,1,
105,"['What I like most about this software is that it's great for small businesses. It also comes with a mobile app so you are really able to control what you're doing at any point in time. Lastly, there are many different templates to use for making invoices that can suit your needs.']",['ui'],[''],[''],1,,
106,"['Super easy to use, pretty user-interface, 10/10 functionality, free option is super good if paying for an account is out of the question.']",['ui'],['functionality'],['price'],1,1,1
107,"['Over the years, FreshBooks has made efforts to improve its service and update the levels of programs.  The latest change they made to the interface has improved some things but other parts have been left behind and I've personally not seen any update or changes in the past few years.  What I like MOST is what they started with years ago -- the ability to remind clients at the 30, 60, 90 day marks to pay their bills.  However, the interface to set that feature up changed a few years ago with their major update and it's not as intuitive now.']",['ui'],['update'],[''],1,1,
108,"['This might make me sound superficial but the first thing I loved about Freshbooks was the interface. The icons, the buttons, the way everything looks is so so appealing to me.  And it made me want to use the trial version (I did this a little more than 1 year ago). Using it made me feel like I was getting my financial act together.  Which it later did, btw.    The time tracker is the best... time saver for me. It records time and then adds everything together in a way that nothing else really did. It seems so obvious but nothing I was using before helped track my hours this way. This is the thing that used to drive me round the bend when it came time to invoicing clients. I used to delay invoicing (aka ""getting paid"") because my own system was terrible..and I could not find a better way until finally deciding that maybe I needed to pay for something to help me.     I like the notes section for the time entries.  I like how flexible it is to shift recorded time entries around or update the text to better describe what work I actually did.    I also love the support from Freshbooks.  They're super responsive and extremely helpful.  They do not waste my time with a lot of blather I've experienced in so many other customer service situations (like repeating back to me the question I just proferred).  They include screenshots and precise language to answer my questions.      Also: Expenses in FB.  I now go out of my way to add in expenses as they come w/o avoiding them.']",['ui'],['time'],[''],1,1,
109,"['FreshBooks gives small businesses a well-designed and intuitive user interface that can easily be used for a variety of different functions, most notably billing, and invoicing.  Users are given a wide array of attractive template designs to choose from when creating invoices, allowing for catchy, yet professional looking documents.    FreshBooks also provides users with tools for team collaboration, estimates, and projects, all of which can be easily navigated and set up to increase your small businesses' ability to maximize communication, send automatic reminders, submit proposals, and secure jobs with relative ease.     As an accounting package, FreshBooks also provides users with the ability to perform some fundamental bookkeeping and accounting functions, has some bank reconciliation functions, enables you to accept online credit card payments, and provides many of these features via their full-featured mobile application.    Last but not least, FreshBooks provides excellent customer service from the start. A detailed and easily followed tutorial will help new users get started, while their well-trained staff is always ready to provide users with answers to any questions or issues they may encounter. FreshBooks is very proud of their customer service and their customer satisfaction rating, and it really shows when you speak with one of their representatives.']",['ui'],['functionality'],[''],1,1,
110,"['businesses get to manage invoices and recurring subscriptions in less than no time, and collect online payments within the same system. In fact, FreshBooks enables Google Checkout, PayPal, and credit card payments, and integrates with a long list of business systems and applications that can streamline this process. With it, odds are good that you will unite financial control in a single system, and stop paying for the maintenance of complex software infrastructure.    A considerable advantage of FreshBooks compared to other accounting apps is the availability of fully-functional mobile apps and add-ons you can get for Android and iOS devices. The apps allow you to bring the power and convenience of the software on location, and do accounting and access records whenever you wish to do so. As you can see, FreshBooks literally takes finances out of the office, but does so in a safe and seamless fashion.']",['time'],['security'],[''],1,1,
111,"['A professional colleagues introduced me to FreshBooks about 4 years ago. Since then I've had four different part-time assistants (they leave for full-time work!) and each has mastered FBs in a few days, not weeks as was the case with a competing product that I used previously.  It is very comprehensive and also customizable for tasks, clients, projects, and expense categories.  It interfaces cleanly with a payment system, so that my clients who prefer to pay by credit card can do so with no hassles. I also like the APIs that pull expense info from my bank account transactions and business credit card charges.']",['ui'],['functionality'],[''],1,1,
112,"['API, customer service, recurring billing & autopay functionality']",['customer support'],['functionality'],[''],1,1,
113,"['FreshBooks its the best software to control all the billing aspects on any company, fully customization task, automatic invoices and easy to follow payments, also the reports become a dream to work with it, the pro and subscription options worth every penny, dont forget that all your data is on the cloud so can be easy access from any place in the world, the mobile app become useful on travels.']",['auto update'],['storage'],[''],1,1,
114,"['This program is easy to set up, use and should you have any questions at all, the FreshBooks Rock Stars are always ready to get you back on track, fast! They have great how-to videos and send you good tips via email, making it easy to run your small/medium sized business, the way you want. There are way too many great features to list here, but with a free trial period to test it out, you can make an informed decision and see if this program is right for you with no upfront commitment.  Something else I found amazing is the fact they actually listen. If you have recommendations on how to improve the product, they will listen, take it to the development team for further review, oh, and they do get back to you, sometimes takes a bit of time, but they always do. So nice not to be forgotten :) I highly recommend this program.']",['ease of use'],['customer support'],[''],1,1,
115,"['super easy to use and got me up and running stright away any issues i had i called them right up and boom sombody on the other side of the phone no robo call deal a real knolagable human telling me how to fix it , there marketing and custmoer service blew me away so much i used them as a exsample of how it sholuld be done to my clients']",['ease of use'],['customer support'],[''],1,1,
116,"['I like how easy it is to track billables, how easy it is to create estimates and turn them into invoices, how wonderfully the app tracks invoices, expenses, and payments. I always know when my client has viewed the invoice. Freshbooks makes bookkeeping and accounting easy, and this is a plus for us with non-traditionally-logical creative brains. It is wonderful that I can use Freshbooks on my laptop and on the go with my cell-phone or tablet. The functionality is great for most users. I do need to track time (sometimes, just for myself to ensure I am on top of the project projections). I love that I can input receipt images - on the go - directly from my phone's camera or can upload them through files on the laptop/desktop app. I have used Quickbooks in the past, and it was far more robust than I needed. I am a one-person creative company and just needed time-tracking / estimate generation / invoicing / payment tracking / and expense tracking. And, of course, the lovely printable reports for my accountant. Freshbooks far surpasses my expectations.']",['ease of use'],['functionality'],[''],1,1,
117,"['I have had this software since it was a free program.  I use it for time tracking and invoicing my real estate clients.   It works seamlessly with Stripe which moves my credit card payments to my bank for a small fee.  The cost is very reasonable and if I had a staff of any kind I could give them some access to be able to bill for their hours etc.  I now use the extension on chrome to login and track my hours which is incredibly handy and I dont have to have a window open just for that, it works in the background of all the open tabs.  Overall I very much like it.']",['accounting method'],['ease of use'],[''],1,1,
118,"['freshbooks is an excellent tool that apart from reducing the accounting processes, since with this tool we replace the tedious and obsolete accounting books and the generation of invoices by a modern and simple online billing system, on the other hand it guarantees the confidentiality of the registered invoices or stored in the cloud, also allows the personalization of invoices with the logo of the user's company and is incredibly easy to use, you can also link the bank account of the company to do an automatic monitoring of expenses, thus allowing the savings of time and further simplifying the billing and collection tasks.  Additionally, it allows users to store customer information, and track and control the time employees invest in each project, this would imply that it is possible to decide which project is more profitable for the company, in relation to man versus benefit hours. or profit for the company, as well as that generates greater efficiency in communication in the members of a team that have a common project since it would avoid the sending of emails and assignments of keys for permits because with this tool you can send files and images in addition to managing the permissions of each team member work. On the other hand, it generates a great variety of financial reports, among which we can highlight: profit and loss reports, invoice details and reports by customers. Finally, it has a mobile application that allows you to access the system from anywhere. ']",['accounting method'],['ease of use'],['storage'],1,1,1
119,"['Ability to see all the jobs for each client.  Ability to add contacts to the clients - in my case, to add secretaries names to the faculty accounts.  Ability to have my student workers be able to assist with the outgoing invoices to ease up my time for other matters.  Can add expenses to see exactly what's coming in and going out.  Automatic 30, 60, and 90 day overdue notices.  Integration with PayPal so invoices can be paid that way if preferred.  Would love to use the ability where FreshBooks can keep track of your inventory, but since some of my jobs are paid ahead of time through Wufoo and never have to get transferred over to FreshBooks, it wouldn't be accurate.']",['auto update'],['time'],[''],1,1,
120,['easy to use  effective - does what it says  makes me look good  pretty'],['ease of use'],[''],[''],1,,
121,"['What I liked most about this application is that it allows me to be more effective in managing my bills, saving me money in hiring personnel for this task. Handling my bills well increases the effectiveness of my collections by growing my business. For a small business,  it is excellent and it works very well, but for large companies the application works slow. I like how easy it is to learn how to use it. It is designed to be used by people with little or no experience in the financial management of the company. The application tracks the expenses of the company and sends invoices to customers to charge for your work, it's like having a very competent private secretary. I recommend it for entrepreneurs with little experience in the business world.']",['price'],['functionality'],[''],1,1,
122,"['Freshbooks is fairly intuitive, even if you do not have an accounting degree you can find the information you're looking for. Creating and publishing invoices is simple enough for anyone to do.  I like that there is a default description line for the product/service, but you can customize the content on an ad hoc basis when needed. Pre-built reports exist to pull commonly requested data from the system.']",['accounting method'],[''],[''],1,,
123,['I appreciate the ability to assign projects to clients and track time for each client. I also like the ability to auto-send invoices to clients and accept auto-payments.'],['functionality'],['auto update'],[''],1,1,
124,"['Hands-down the most impressive aspect of fresh books is the customer support. Monotonous tasks or more complicated requirements are approached by a customer support team that answers the phone instantly and works to help you get your work done. The advances that have been made especially in the payment handling utilizing the  Advanced payment feature, which is an additional cost,  has revolutionize the way our business is able to store and process payments using their PCI compliant service']",['customer support'],['accounting method'],[''],1,1,
125,"['FreshBooks is a great solution for small businesses like me. It allows you to professionally accept credit cards and you get the payments ASAP. It also tracks clients, invoices, hours, etc. in a very convenient way. For a long time, FreshBooks was pretty dated with their interface, but they recently just came out with a new interface that is much better - but it's very different so it's still taking me some time to get used to. FreshBooks is probably one of the better solutions out there available - but I'm not 100% sure because I've used this for so long that I haven't tried anything else. I guess if I've stuck with it that long then it must be good for me! :)  Also, customer service is one of the best. Every time I email support, I get very quick and professional responses. I appreciate that!']",['accounting method'],['ui'],[''],1,1,
126,['does a good job at automating reminders and processing credit card payments'],['auto update'],[''],[''],1,,
127,"['FreshBooks is very easy to use and it is the best business software for finances, sales and marketing. The one thing that we most like about this software is that it can better manage our finance in a more efficient way.  The another thing that I most like about this software is that FreshBooks is the best accounting software. It can easily manage our accounts in a efficient way. FreshBooks contain superb features such as it can easily track  all of our incomes and expenses. Hence it is the best business software for finance, sales and marketing.']",['ease of use'],['functionality'],[''],1,1,
128,"['Reports & data download faster due to the FreshBooks server setup. The user interface is not very different from other entry-level accounting software, the data download speeds are much higher.']",['time'],['ui'],[''],1,1,
129,"['It's user-friendly and makes it really easy to monitor and collect payments. You can create and estimate, get the client to approve online, roll to an invoice, set up recurring invoices for each client, log your hours, have them automatically roll to the corresponding monthly invoice, send via email or mail, and track when it's paid.']",['ease of use'],['auto update'],[''],1,1,
130,['It was easy to follow and use - nothing complicated.   Perfect for someone that isn't good at bookkeeping but has their own business with low overhead.'],['ease of use'],[''],[''],1,,
131,['It does what is expected of it at a good monthly price. Invoices looks good and options to receive payments are good enough.'],['price'],['accounting method'],[''],1,1,
132,"['As a long-time user (9 years), I've developed a workflow around Freshbooks so that I can track time, send invoices, draft estimates, and get paid pretty fluidly. It's integrated into my business, and I appreciate that it also integrates with other apps I may need to use. I find it's easy to use and does what I need it to.']",['functionality'],['ease of use'],[''],1,1,
133,"['Invoices need to be created with ease while onsite with a client. FreshBooks does this using their iPhone app. The client is instantly emailed an online invoice, allowing them to pay the invoice immediately. Being an Apple Consultant, design astetic is important, and I wanted my invoices and payment portal to reflect that. The received FreshBook invoices, statements, website/ portal and other client contact are easily customizable with very little effort.']",['accounting method'],['functionality'],[''],1,1,
134,"['Not only is the design pleasing, but it's super easy to use and integrate with just about any other platform you use. My favorite features are the automations. I have the ability to integrate this with my email list so that new clients added to my email list automatically. I also love how easy the reports are to use. Creating recurring invoices it's the bomb and I love that some of my clients have saved they're credit cards and their invoices get paid automatically!! I spend less time entering payments and managing expenses and more time doing the stuff I want to do.']",['auto update'],['time'],[''],1,1,
135,"['I love the ease at which you can track your time and bill it to each project and customer. It makes billing so much easier and more accurate. Just click on the start timer and the clock starts. It allows you to pause and resume if you have to take a break or take a call and then you can continue with your time. When finished just click on submit time entry, select your project or add a new one and customer and it gets added to project for billing later. At the end of the project you have a breakdown and can see all the time spent, and can bill it all or just some of it.']",['functionality'],['time'],[''],1,1,
136,['It has some nice features such as you can see when people open the quote or invoice that you send them and how many times they have opened it. This is nice when you have a potential sale and you can tell if the prospect has looked at your quote and if he re-opened it.   The customer can pay the can pay the invoice straight from the online and is easy and intuitive for them. Being an web based platform is nice to be able to pull it up on any device no matter where you are.'],['functionality'],['accounting method'],[''],1,1,
137,"['I love being able to pull reports (P & L) very quickly to see my numbers. Clients can log into their invoices at any time and pay or download (which saves me from having to send it to them).  Creating an invoice is very simple. The per month plan allows for up to 50 clients, which is plenty for the time being. Customer support is fantastic!']",['functionality'],['customer support'],[''],1,1,
138,"['Easy, reliable, it did solve a ton of problems for me.  In particular, my documents (invoices and expense receipts, mainly) are safely and orderly kept in there.']",['ease of use'],['security'],[''],1,1,
139,['Freshbooks is the way to go if you're putting out estimates and invoices. Streamlined my books with all customers in one place as well as easily estimating and invoicing. The app is amazing and with it's update easy to send a quick estimate or invoice to a client. The reports are very helpful as well.'],['functionality'],['accounting method'],[''],1,1,
